pos index,depth index,current joint depth,current joint position,current joint effort,current torque offset
1,1,0.1062406877,-0.0031798353,0.0435120424,-0.0982354969
2,1,0.1062443173,-0.0051553103,-0.0333327774,-0.1621469748
3,1,0.1062496321,-0.0069411923,-0.1300496299,-0.1621469748
4,1,0.1062568913,-0.0086799656,-0.2320767049,-0.1845915152
5,1,0.1062599376,-0.0108180042,-0.2926368424,-0.2125114851
6,1,0.1062632431,-0.0128645284,-0.3637938239,-0.2125114851
7,1,0.1062620765,-0.0149635672,-0.4274456909,-0.2145175691
8,1,0.106264669,-0.0172734366,-0.4723111708,-0.2221170876
9,1,0.1062685579,-0.0191643478,-0.556920716,-0.242484741
10,1,0.1062711505,-0.0211058428,-0.637659699,-0.2505798802
11,1,0.106278669,-0.0231589313,-0.7053709361,-0.2505798802
12,1,0.1062867708,-0.0254560582,-0.7513220615,-0.2515239197
13,1,0.1062970763,-0.0274608797,-0.8247683389,-0.2507450871
14,1,0.1063056318,-0.0295691858,-0.8890810336,-0.2505562792
15,1,0.1063178169,-0.0315388688,-0.966869893,-0.2505562792
15,2,0.1167764791,-0.0279566791,-0.9249309358,-0.1186031503
14,2,0.1167698032,-0.0263159845,-0.8329578821,-0.1186031503
13,2,0.116764618,-0.0246907354,-0.7488439576,-0.1089975478
12,2,0.1167594329,-0.023067417,-0.6645884273,-0.1010440146
11,2,0.116755544,-0.021369188,-0.5862803462,-0.1010440146
10,2,0.1167503589,-0.0197107311,-0.5057065701,-0.0927600675
9,2,0.1167451737,-0.0179553539,-0.4348564014,-0.0839332976
8,2,0.1167399885,-0.0161686997,-0.3653278882,-0.0839332976
7,2,0.1167348034,-0.0144133225,-0.2915039949,-0.0693006845
6,2,0.1167283219,-0.0127093015,-0.2142343573,-0.0709055517
5,2,0.1167257293,-0.0108612515,-0.1535090129,-0.0709055517
4,2,0.1167218405,-0.0090213104,-0.089503131,-0.0679790291
3,2,0.1167166553,-0.0072222998,-0.0221695097,-0.0679790291
2,2,0.1167166553,-0.0054673087,0.0513711717,-0.085325756
1,2,0.1167179516,-0.0036752486,0.1188936009,-0.1499688645
0,2,0.1167192479,-0.0017009319,0.169753732,-0.1499688645
0,2,0.1167192479,-0.0016990012,0.1700369438,-0.1498744606
1,2,0.1167218405,0.000183801,0.2279773716,-0.0693714875
2,2,0.1167257293,0.0019754751,0.2963730374,-0.0693714875
3,2,0.1167309145,0.0038138716,0.3600249044,-0.0693714875
4,2,0.1167322108,0.0058457226,0.4047251774,-0.0265356926
5,2,0.116737396,0.0079451476,0.4422507497,-0.032034723
6,2,0.1167399885,0.0100017113,0.4830332585,-0.0119266805
7,2,0.1167425811,0.0121092451,0.5195675893,-0.0175437159
8,2,0.11674647,0.0142071255,0.5575651814,-0.0175437159
9,2,0.1167529514,0.0162254618,0.6022890554,-0.0091181628
10,2,0.1167542477,0.0181924418,0.6532907924,0.006080874
11,2,0.1167581366,0.0200339275,0.7160694228,0.006080874
12,2,0.1167607292,0.0220939665,0.758173587,0.0085353769
13,2,0.1167633218,0.0240161547,0.8125266644,0.0156156735
14,2,0.1167672106,0.0259545606,0.8659121013,0.0156156735
15,2,0.1167672106,0.0279003032,0.9188491194,0.0048064206
16,2,0.1167698032,0.029824036,0.9750666749,0.0154740676
16,2,0.116771618,0.0306044181,0.9000627322,0.0154740676
15,2,0.1167710995,0.0290170104,0.8086325013,-0.0994627483
14,2,0.1167723958,0.0272944548,0.7322597012,-0.123417752
13,2,0.1167762847,0.0254688007,0.6682066174,-0.142676159
12,2,0.1167736921,0.0236867801,0.6004009763,-0.1377435523
11,2,0.1167723958,0.0219136407,0.52865397,-0.1377435523
10,2,0.1167672106,0.0199497497,0.479823524,-0.1546654613
9,2,0.1167659143,0.018102472,0.4163132629,-0.1546654613
8,2,0.1167620255,0.0161266108,0.3680020387,-0.1623357827
7,2,0.116755544,0.0140735223,0.3250718399,-0.1692980744
6,2,0.1167529514,0.0119242857,0.2932813078,-0.1777708294
5,2,0.1167477663,0.0099295038,0.2448048766,-0.180933362
4,2,0.1167451737,0.0080648499,0.1830174877,-0.180933362
3,2,0.1167451737,0.0061882259,0.1238734096,-0.1448474499
2,2,0.1167425811,0.0042494338,0.0705351747,-0.1448474499
1,2,0.1167412848,0.0024257104,0.0050188295,-0.09377491
0,2,0.1167412848,0.0006730362,-0.0679318271,-0.1751511197
