pos index,depth index,depth,current joint position,current joint effort,current torque offset
29,0,0.096752493,-0.0744456004,-0.5930183296,0.1508376382
28,0,0.0967487986,-0.0720110088,-0.5594341224,0.1504128204
27,0,0.096746206,-0.0696242982,-0.5239618361,0.1533629441
26,0,0.0967460116,-0.0672093997,-0.4883479439,0.1526549144
25,0,0.0967432894,-0.0648489464,-0.447659839,0.1503892195
24,0,0.0967421227,-0.0623382859,-0.4225955888,0.1536933579
23,0,0.0967401135,-0.0599145062,-0.3879493372,0.1566198805
22,0,0.0967382338,-0.0575320431,-0.3494325233,0.1566198805
21,0,0.0967395301,-0.0551159861,-0.3135826212,0.1567378855
20,0,0.0967369375,-0.0526721273,-0.2818628921,0.1587675705
19,0,0.0967356413,-0.0502294269,-0.2489395126,0.159782413
18,0,0.096734345,-0.0478033304,-0.2132548174,0.1625437287
17,0,0.0967356413,-0.0453355311,-0.1839895912,0.1588619745
16,0,0.0967330487,-0.042899395,-0.1510190097,0.1551566192
15,0,0.0967330487,-0.0404532193,-0.1172931965,0.1551566192
14,0,0.0967347338,-0.0380182417,-0.0840158022,0.1563366687
13,0,0.0967379098,-0.0355627987,-0.0522252702,0.155675841
12,0,0.096734345,-0.0330749204,-0.0246121132,0.1532921411
11,0,0.0967356413,-0.0306383981,0.0104117543,0.1571627033
10,0,0.0967331783,-0.0282258164,0.0470404891,0.1521120916
9,0,0.0967331783,-0.0257313737,0.0739692174,0.1568322894
8,0,0.0967331135,-0.0232655051,0.1068925969,0.1563130677
7,0,0.0967330487,-0.0207386269,0.1316264333,0.1600892259
6,0,0.0967356413,-0.0183156194,0.166319887,0.1600892259
5,0,0.0967356413,-0.0159099881,0.204364681,0.1573987132
4,0,0.096734345,-0.0134730798,0.2379724892,0.1553690281
3,0,0.0967356413,-0.0109991023,0.2683941639,0.1615524872
2,0,0.096734345,-0.0085726196,0.3035124354,0.1550858162
1,0,0.0967356413,-0.0060735433,0.331998829,0.1475334998
0,0,0.0967382338,-0.0035980212,0.3607212325,0.1241449198
0,0,0.0967382338,-0.0035821896,0.3597299909,0.1241449198
1,0,0.0967369375,-0.0011116874,0.3911901091,0.1241449198
2,0,0.0967395301,0.0013082309,0.4264263855,0.1238853089
3,0,0.0967382338,0.0038478517,0.4507118031,0.1495395839
4,0,0.0967421227,0.0063646903,0.4773101176,0.1634877683
5,0,0.096743419,0.0088375094,0.5072597725,0.166131079
6,0,0.096743419,0.0113242294,0.535793368,0.1673347295
7,0,0.0967486042,0.0137885534,0.5664510526,0.1809288991
8,0,0.0967499004,0.016104601,0.6125673849,0.1829585841
