position index,depth index,current depth,current joint position,current torque offset
14,0,0.090010488729999977,-0.044680428851054839,0.15487340734343186
13,0,0.090010488729999977,-0.041887902047863933,0.15138046098755481
12,0,0.090013081309999979,-0.039095375244672985,0.14873715023175604
11,0,0.090013081309999979,-0.036302848441482051,0.15267851537656357
10,0,0.090013081309999979,-0.033510321638291138,0.15661988052137049
9,0,0.090010488729999977,-0.030717794835100187,0.15617146173244045
8,0,0.090010488729999977,-0.027925268031909273,0.1548970083323232
7,0,0.090011785019999985,-0.025132741228718343,0.15381136284333394
6,0,0.090013081309999979,-0.022340214425527419,0.154047372732245
5,0,0.090013081309999979,-0.019547687622336496,0.15371695888777015
4,0,0.090013081309999979,-0.016755160819145572,0.15218289460985113
3,0,0.090013081309999979,-0.013962634015954651,0.15624226469911354
2,0,0.090013081309999979,-0.011170107212763711,0.15725710722142913
1,0,0.090010488729999977,-0.0083775804095727879,0.15921598929938727
0,0,0.090011785019999985,-0.0055850536063818635,0.16023083182170256
-1,0,0.090010488729999977,-0.0027925268031909335,0.16372377817758019
-1,0,0.090010488729999977,-6.0715321659188248e-18,0.16787755222240669
-1,0,0.090010488729999977,0.0,0.16469141872211365
-2,0,0.090013081309999979,0.0,0.16565905926664701
-3,0,0.090010488729999977,-0.0027925268031909274,0.13337290646367536
-4,0,0.090010488729999977,-0.0055850536063818549,0.12025075664024534
-5,0,0.090010488729999977,-0.0083775804095727845,0.11446851436193542
-6,0,0.090013081309999979,-0.01117010721276371,0.1051461237499661
-7,0,0.090010488729999977,-0.013962634015954637,0.1021015961830192
-8,0,0.090010488729999977,-0.016755160819145569,0.093298427326653624
-9,0,0.090010488729999977,-0.019547687622336492,0.09374684611558351
-10,0,0.090010488729999977,-0.022340214425527419,0.089498668115192276
0,1,0.090010488729999977,-0.025132741228718343,0.086666549448265101
1,1,0.099930996100000058,-0.0027925268031909274,0.1511916530764264
2,1,0.099932292390000052,-0.0055850536063818549,0.12829869385209719
3,1,0.099936181259999979,-0.0083775804095727845,0.11798506170670353
4,1,0.099936181259999979,-0.01117010721276371,0.10859186812806106
5,1,0.099936181259999979,-0.013962634015954637,0.10403687727208639
6,1,0.099937477549999987,-0.016755160819145569,0.095446117315740001
7,1,0.099937477549999987,-0.019547687622336492,0.091764363048734393
8,1,0.099938773839999981,-0.022340214425527419,0.087398180103888362
9,1,0.099937477549999987,-0.025132741228718343,0.083338810014625495
10,1,0.099937477549999987,-0.027925268031909273,0.077344158836295931
11,1,0.099940070129999989,-0.030717794835100187,0.078595011247522023
12,1,0.099940070129999989,-0.033510321638291138,0.077768976636334974
13,1,0.099940070129999989,-0.036302848441482051,0.076872139058474898
14,1,0.099940070129999989,-0.039095375244672985,0.073473596658162138
15,1,0.099938773839999981,-0.041887902047863933,0.072977975891449789
16,1,0.099940070129999989,-0.044680428851054839,0.072128340291371745
17,1,0.099941366419999983,-0.04747295565424578,0.069485029535572576
18,1,0.099938773839999981,-0.050265482457436686,0.070853886891254186
19,1,0.099938773839999981,-0.053058009260627634,0.070216660191195601
20,1,0.099938773839999981,-0.055850536063818547,0.065095245601835411
21,1,0.099940070129999989,-0.058643062867009467,0.065897679224131506
22,1,0.099941366419999983,-0.061435589670200373,0.064104004068410797
23,1,0.099941366419999983,-0.064228116473391328,0.06797456624654491
24,1,0.099938773839999981,-0.067020643276582276,0.061909112101542263
25,1,0.099940070129999989,-0.069813170079773196,0.067667753390961066
26,1,0.099940070129999989,-0.072605696882964102,0.065897679224131395
27,1,0.099940070129999989,-0.075398223686155036,0.065803275268566955
28,1,0.099940070129999989,-0.078190750489345998,0.062876752646076076
29,1,0.099942662709999977,-0.080983277292536945,0.062829550668293696
30,1,0.099942662709999977,-0.083775804095727879,0.061767506168196006
31,1,0.099942662709999977,-0.086568330898918758,0.062145121990452711
32,1,0.099940070129999989,-0.089360857702109719,0.065661669335220829
33,1,0.099942662709999977,-0.092153384505300653,0.063702787257262861
34,1,0.099942662709999977,-0.094945911308491601,0.060634658701425072
35,1,0.099940070129999989,-0.097738438111682563,0.064741230768469521
36,1,0.099940070129999989,-0.10053096491487352,0.062168722979343949
36,1,0.099942662709999977,-0.10332349171806436,0.059950230023584183
35,1,0.099942662709999977,-0.10332349171806436,0.061909112101542041
34,1,0.099942662709999977,-0.10053096491487352,0.10009551212727899
33,1,0.099942662709999977,-0.097738438111682563,0.11649819940656667
32,1,0.099941366419999983,-0.094945911308491601,0.11994394378466126
31,1,0.099941366419999983,-0.092153384505300653,0.12270525948491569
30,1,0.099942662709999977,-0.089360857702109719,0.13228726097468632
29,1,0.099942662709999977,-0.086568330898918758,0.13580380831945457
28,1,0.099942662709999977,-0.083775804095727879,0.13386852723038736
